pair_key,substance_a_id,substance_b_id,is_self_pair,classification_code,classification_confidence,risk_score,risk_label,headline,mechanism_summary,timing_guidance,field_notes,primary_mechanism_category,mechanism_categories,evidence_gaps,provenance_confidence_tier,provenance_rationale
alcohol|salvia,salvia,alcohol,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|serotonergic_opioids,alcohol,serotonergic_opioids,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|snri,alcohol,snri,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|ssri,alcohol,ssri,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|tobacco_rape,tobacco_rape,alcohol,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|tricyclic_ad,alcohol,tricyclic_ad,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
alcohol|two_c_x,alcohol,two_c_x,false,INFERRED,low,NULL,Unknown/Insufficient Data,No explicit interaction classification is loaded for this pair in the current curated dataset.,NULL,NULL,NULL,psychiatric_destabilization,[],NULL,low,No explicit rule is loaded for this pair in the current dataset.
alcohol|yopo,yopo,alcohol,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
amphetamine_stims|amphetamine_stims,amphetamine_stims,amphetamine_stims,true,SELF,not_applicable,-1.00,Same Entity / N-A,Same entity selected; this is not an interaction pair.,NULL,NULL,NULL,unknown,[unknown],NULL,low,Self pairing is not an interaction and is preserved as a non-comparable diagonal case.
amphetamine_stims|antihypertensives,amphetamine_stims,antihypertensives,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
amphetamine_stims|antipsychotics,amphetamine_stims,antipsychotics,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
amphetamine_stims|atypical_ad,atypical_ad,amphetamine_stims,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
amphetamine_stims|ayahuasca,ayahuasca,amphetamine_stims,false,DANGEROUS,high,5.00,Dangerous / Contraindicated,Explicitly contraindicated; risk includes hypertensive crisis/serotonin toxicity.,Amphetamine-type stimulants release catecholamines and interact dangerously with MAO-A inhibition: hypertensive crisis and arrhythmia risk from excess norepinephrine/dopamine sits alongside serotonin-release–driven serotonin toxicity. Both sympathomimetic and serotonergic MAOI pathways are operative.,NULL,NULL,sympathomimetic_load,[sympathomimetic_load serotonergic_toxicity maoi_potentiation cardiovascular_load psychiatric_destabilization dehydration_or_electrolyte_risk],NULL,high,Explicitly contraindicated; risk includes hypertensive crisis/serotonin toxicity.
amphetamine_stims|belladonna,belladonna,amphetamine_stims,false,THEORETICAL,low,2.00,Theoretical interaction,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,"Additive catecholaminergic and serotonergic activation can raise heart rate, blood pressure, anxiety, and overheating risk.",NULL,NULL,sympathomimetic_load,[sympathomimetic_load cardiovascular_load psychiatric_destabilization hemodynamic_interaction],"- Avoid sleep deprivation, dehydration, and dose escalation.
- Do not ignore chest pain, severe headache, or confusion.",low,Class-level autonomic activation supports a cautious inference even without pair-specific trials.
amphetamine_stims|benzodiazepines,amphetamine_stims,benzodiazepines,false,THEORETICAL,medium,2.00,Theoretical interaction,A CNS-depressant or opioid-like partner with another depressant signal suggests pharmacodynamic CNS depression with possible respiratory involvement.,"Sedation, slowed respiration, vomiting, and impaired self-protection can stack even when the exact chemistry differs.",NULL,NULL,pharmacodynamic_cns_depression,[pharmacodynamic_cns_depression respiratory_depression operational_or_behavioral_risk dehydration_or_electrolyte_risk],"- Avoid mixing with alcohol, benzodiazepines, or other sedatives.
- Seek urgent care for slowed breathing, cyanosis, or unresponsiveness.",medium,The shared depressant physiology is enough to support a moderate provisional warning.
amphetamine_stims|beta_blockers,amphetamine_stims,beta_blockers,false,THEORETICAL,low,2.00,Theoretical interaction,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,"Both drugs can shape blood pressure or pulse, so the main issue is compensatory load rather than a unique toxidrome.",NULL,NULL,hemodynamic_interaction,[hemodynamic_interaction cardiovascular_load psychiatric_destabilization sympathomimetic_load],"- Watch for dizziness, palpitations, syncope, or sustained tachycardia.
- Hydration and dose caution matter more than exact label matching here.",low,Class-level cardiovascular pharmacology supports a cautious inference.
